ID,遺跡,遺構,所在地,時期
1,石名田木舟遺跡,SD7030,富山県小矢部市,富山第1段階（15C後半）
2,石名田木舟遺跡,SD7003,富山県小矢部市,富山第2段階（15C後半）
3,富山城跡,3SD54,富山県富山市,富山第3段階（16C中頃?）
4,富山城跡,2SK705,富山県富山市,富山第4段階（16C前半?）
5,平安京左京四条二坊十四町跡,SE0922,京都府京都市,京都9C段階（15C後）
6,平安京左京四条二坊十四町跡,SK2185,京都府京都市,京都10A段階（16C前）
7,史跡・名勝嵐山,土壙170,京都府京都市,京都9B段階（1447年頃）
8,山科寺内町遺跡,石室2〜4,京都府京都市,京都10A-B段階（1532年頃）
9,平安京左京三条四坊七町跡,SK415,京都府京都市,京都9C段階（15C後）
10,平安京左京五条三坊十町跡・烏丸綾小路遺跡,土坑170,京都府京都市,京都9C段階（1493年頃）
11,平安京左京五条三坊六町跡,SK499,京都府京都市,京都10A段階（16C前）
12,平安京左京六条二坊五町跡・猪熊殿跡・本圀寺跡,SD166上層,京都府京都市,京都10A-B段階（1536年頃）
13,山科本願寺跡,土坑2134,京都府京都市,京都10A-B段階（1532年頃）
14,小島西遺跡,B区SK25,石川県七尾市,石川2段階（15世紀前半）
15,小島西遺跡,G区SK373,石川県七尾市,石川3段階（15世紀前半）
16,七尾城跡シッケ地区,SX09,石川県七尾市,石川4段階（15世紀中頃）